id	Station	Latitude	Longitude	phi	dt	refID	Phase	pmax	pmin	dtmax	dtmin	remark
2	GRA1	49.69	11.22	77.0	1.05	0	SKS	4.0		0.15		
54	BRG	50.9	14.0	100.0	1.2	4	SKS					
58	CLL	51.3	13.0	100.0	1.0	4	SKS					
66	GRF	49.5	11.2	90.0	0.7	4	SKS					
74	KHC	49.1	13.6	100.0	1.1	4	SKS					
82	MOX	50.7	11.6	100.0	0.7	4	SKS					
101	STU	48.8	9.2	50.0	0.5	4	SKS					
112	BRG	50.9	14.0	100.0	1.2	5	SKS					
113	CLL	51.3	13.0	100.0	1.0	5	SKS					
114	MOX	50.7	11.6	100.0	0.7	5	SKS					
115	GRF	49.4	11.3	90.0	0.7	5	SKS					
116	STU	48.8	9.2	50.0	0.5	5	SKS					
119	KHC	49.1	13.6	100.0	1.1	5	SKS					
244	BFO	48.3319	8.3311	40.0	1.0	13	SKS					
245	CLZ	51.84	10.37	110.0	0.6	13	SKS					
246	FUR	48.16	11.28	60.0	1.2	13	SKS					
247	HAM	53.47	9.92	120.0	0.4	13	SKS					
248	TNS	50.22	8.45	80.0	0.8	13	SKS					
249	WET	49.14	12.88	90.0	1.4	13	SKS					
493	STU	48.8	9.2	50.0	0.5	29	SKS					
494	GRF	49.5	11.2	90.0	0.7	29	SKS					
495	KHC	49.1	13.6	10.0	1.1	29	SKS					
496	MOX	50.7	11.6	100.0	0.7	29	SKS					
497	BRG	50.9	14.0	100.0	1.2	29	SKS					
499	CLL	51.3	13.0	100.0	1.0	29	SKS					
658	ECH	48.216	7.158	85.0	0.88	39	SKS	9.0		0.09		
744	BRG	50.875	13.947	101.0	0.3	47	SKS					
745	BRNL	52.428	13.358	119.0	0.68	47	SKS					
746	BSD	55.11	14.91	15.0	0.5	47	SKS					
747	BSEG	53.94	10.32	86.0	0.5	47	SKS					
748	BUG	51.445	7.264	92.0	0.63	47	SKS					
749	CLZ	51.8429	10.374	90.0	0.6	47	SKS					
753	HLG	54.184	7.884	104.0	0.9	47	SKS					
754	IBBN	52.307	7.757	69.0	0.77	47	SKS					
756	LEN	53.09	11.479	105.0	1.07	47	SKS					
758	MOX	50.646	11.616	79.0	1.3	47	SKS					
760	RGN	54.548	13.321	43.0	0.7	47	SKS					
761	RUE	52.477	13.779	97.0	0.68	47	SKS					
762	T0BG	52.958	12.034	107.0	0.7	47	SKS					
765	T1BD	55.863	12.24	104.0	1.1	47	SKS					
766	T1BG	54.073	10.457	101.0	0.5	47	SKS					
767	T2BD	55.703	11.55	104.0	1.17	47	SKS					
